Epoch,Train Loss,Validation Loss,Test Loss
1,0.23140036928492128,0.009125533554084029,0.030856901373500743
2,0.11645460222547648,0.00870417228971242,0.028631932194530047
3,0.07136185616352357,0.007444047620973319,0.024459161930525296
4,0.0423941457888986,0.010064483244369152,0.031165920885983286
5,0.027528413621636234,0.00983662299125542,0.03323485692922836
6,0.02021535526692393,0.01264381704863079,0.03828774975843438
7,0.021388947029227005,0.010871910661478862,0.03265540771994301
8,0.015474504556423883,0.009882408300019505,0.030620252843819976
9,0.010203418321799928,0.012217436785863062,0.04280584604374362
10,0.013237918246960663,0.015378528663842286,0.051319668131455255
11,0.013159728698860916,0.010109883004906218,0.03422281976837437
12,0.009980245633727288,0.011350189688548363,0.04377252325870083
13,0.013177261320928502,0.012472393329743611,0.04349270731942913
14,0.008439427479965015,0.010218960850854004,0.03904378722758662
15,0.006983559433752173,0.012375155953481154,0.043602467645694185
