Epoch,Train Loss,Validation Loss,Test Loss
1,0.22616867127513268,0.009387684960364316,0.030445620355621504
2,0.11337958559685388,0.006935025141267445,0.027353696884313116
3,0.06699340896811784,0.00843336970447227,0.028917484977572367
4,0.041327933719736316,0.010608407487248488,0.03367390782008256
5,0.026707242889122067,0.010247473816241411,0.03218192223560476
6,0.019751647811979647,0.011798037695404832,0.036261009622780685
7,0.0198520280987471,0.010908896504750434,0.03723710147033888
8,0.015568072053416652,0.00994774320867302,0.037398145052656595
9,0.011003071675709188,0.011374496083043273,0.04000187804434708
10,0.012581396134363591,0.009015272320208975,0.0346945347241456
11,0.011041949085111477,0.011468682485189029,0.03609548330603102
12,0.013899367955228429,0.011154454326267438,0.03597703705256597
13,0.0077680307118623,0.015637503371911443,0.04585675573009752
14,0.010696719679866256,0.01126224813077344,0.037632866252445545
15,0.008852662095599543,0.011323417873560011,0.036834758193962605
