Epoch,Train Acc,Validation Acc,Test Acc
1,0.8866296980899568,0.9231717337715695,0.9130732375085557
2,0.9467293078660916,0.9465899753492194,0.9322381930184805
3,0.9712980078044773,0.947000821692687,0.9390828199863107
4,0.9843397001437667,0.9437140509449465,0.9359342915811089
5,0.9907321831998357,0.9494658997534922,0.9390828199863107
6,0.9931197371123434,0.9416598192276089,0.9403148528405202
7,0.9931454097350585,0.9478225143796221,0.9399041752224504
8,0.99435202300267,0.9539852095316351,0.9415468856947297
9,0.9963544875744506,0.9531635168447001,0.944558521560575
10,0.9961234339700143,0.9585045193097781,0.9455167693360712
11,0.9961491065927295,0.9465899753492194,0.9422313483915127
12,0.9952762374204148,0.9527526705012326,0.9492128678986995
13,0.9976381187102075,0.9420706655710764,0.9399041752224504
14,0.996996303142329,0.952341824157765,0.9440109514031485
15,0.9970989936331895,0.9490550534100246,0.9444216290212183
