,train_losses,test_losses
0,0.205836370084775,0.014917970138261539
1,0.007781661322541084,0.006854660660580086
2,0.0025871645440411948,0.005044060173411022
3,0.001430642294177164,0.0036807221172531265
4,0.0016111046718798692,0.0024157639725078165
5,0.0007233546433731093,0.002211631780881553
6,0.0005736174927959393,0.002343855340428529
7,0.000464973046989675,0.002446345954621642
8,0.00039667076220435715,0.002251672613299437
9,0.001323700401722639,0.0025666861905588663
10,0.00024790847992336795,0.0032750553604203327
