,train_losses,test_losses
0,0.1660387180310145,0.03773747878327532
1,0.0046235202652877855,0.024046465030676614
2,0.002982499244861488,0.010408269315862088
3,0.0014979907872973983,0.007631809869796126
4,0.002184450826732061,0.009839850802135827
5,0.0006489585167699134,0.006707939069063663
6,0.0003749697243286416,0.0029843242470002345
7,0.00021576656642146276,0.002507971269344998
8,0.0001405609526070037,0.0021125992663045936
9,0.00010686447968127532,0.0019987903495539763
10,0.0013542663175564042,0.0035994037817914802
11,0.002526063669200693,0.00372477252355974
12,0.0013781545593453178,0.0016535756140230121
13,0.0004875636819729099,0.0033230796160635774
